timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/07/01 03:09:25.937, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:26.937, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:27.938, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:28.939, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:29.939, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:30.940, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:31.941, [N/A], [N/A], 13994 MiB
2026/07/01 03:09:32.942, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:33.942, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:34.944, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:35.944, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:36.946, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:37.946, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:38.947, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:39.948, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:40.949, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:41.949, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:42.950, [N/A], [N/A], 13994 MiB
2026/07/01 03:09:43.951, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:44.951, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:45.952, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:46.953, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:47.953, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:48.954, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:49.956, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:50.957, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:51.958, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:52.958, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:53.959, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:54.960, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:55.960, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:56.961, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:57.962, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:58.962, [N/A], [N/A], 14506 MiB
2026/07/01 03:09:59.963, [N/A], [N/A], 14506 MiB
2026/07/01 03:10:00.964, [N/A], [N/A], 14506 MiB
